dataset+metrics,AEL,Drain,IPLoM,LenMa,LFA,LogCluster,LogMine,Logram,LogSig,MoLFI,SHISO,SLCT,Spell,UniParser,LogPPT
HDFS FTA,0.267 / 0.562,0.323 / 0.609,0.000 / 0.000,0.067 / 0.404,0.069 / 0.045,0.000 / 0.000,0.000 / ------,0.054 / ------,0.000 / 0.000,0.000 / 0.000,0.067 / 0.382,0.160 / 0.113,0.214 / 0.225,0.323 / 0.574,0.276 / 0.308
OpenStack GA,0.757 / 0.743,0.733 / 0.752,0.331 / 0.375,0.732 / 0.851,0.200 / 0.669,0.696 / 0.685,0.743 / ------,0.326 / 0.534,0.839 / 0.375,0.213 / 0.266,0.722 / 0.811,0.867 / 1.000,0.764 / 0.781,0.733 / 1.000,1.000 / 0.534
OpenStack FGA,0.658 / 0.682,0.117 / 0.007,0.693 / 0.029,0.231 / 0.395,0.522 / 0.600,0.075 / 0.001,0.078 / ------,0.575 / 0.754,0.716 / 0.705,0.057 / 0.001,0.266 / 0.526,0.732 / 0.946,0.089 / 0.001,0.117 / 1.000,1.000 / 0.929
OpenStack PA,0.018 / 0.029,0.018 / 0.029,0.000 / 0.000,0.018 / 0.019,0.007 / 0.008,0.011 / 0.010,0.011 / ------,0.000 / 0.020,0.011 / 0.010,0.000 / 0.000,0.018 / 0.019,0.076 / 0.128,0.000 / 0.000,0.022 / 0.516,0.906 / 0.408
OpenStack FTA,0.079 / 0.165,0.018 / 0.002,0.000 / 0.000,0.035 / 0.060,0.029 / 0.075,0.005 / 0.000,0.004 / ------,0.000 / 0.033,0.025 / 0.045,0.000 / 0.000,0.042 / 0.088,0.197 / 0.301,0.000 / 0.000,0.053 / 0.292,0.907 / 0.788
Spark GA,0.905 / ------,0.922 / 0.888,0.920 / 0.722,0.883 / ------,0.994 / 0.601,0.798 / 0.413,0.576 / ------,0.282 / ------,0.543 / ------,0.418 / ------,0.906 / ------,0.685 / ------,0.905 / ------,0.922 / 0.853,0.848 / 0.450
Spark FGA,0.511 / ------,0.870 / 0.861,0.769 / 0.524,0.373 / ------,0.769 / 0.526,0.121 / 0.000,0.441 / ------,0.073 / ------,0.235 / ------,0.051 / ------,0.732 / ------,0.358 / ------,0.511 / ------,0.870 / 0.001,0.959 / 0.383
Spark PA,0.359 / ------,0.362 / 0.394,0.321 / 0.343,0.004 / ------,0.356 / 0.364,0.006 / 0.002,0.167 / ------,0.259 / ------,0.000 / ------,0.003 / ------,0.004 / ------,0.377 / ------,0.321 / ------,0.904 / 0.775,0.961 / 0.954
Spark FTA,0.255 / ------,0.493 / 0.412,0.277 / 0.195,0.104 / ------,0.185 / 0.061,0.052 / 0.000,0.136 / ------,0.040 / ------,0.000 / ------,0.010 / ------,0.197 / ------,0.119 / ------,0.191 / ------,0.493 / 0.000,0.849 / 0.331
Zookeeper GA,0.921 / 0.996,0.967 / 0.994,0.962 / 0.994,0.841 / 0.857,0.839 / 0.839,0.732 / 0.737,0.688 / 0.697,0.724 / 0.749,0.782 / 0.000,0.839 / 0.827,0.660 / 0.815,0.726 / 0.749,0.964 / 0.987,0.967 / 0.996,0.985 / 0.973
Zookeeper FGA,0.718 / 0.788,0.854 / 0.904,0.745 / 0.859,0.755 / 0.661,0.763 / 0.626,0.583 / 0.088,0.237 / 0.016,0.454 / 0.383,0.427 / 0.015,0.771 / 0.726,0.491 / 0.443,0.442 / 0.683,0.729 / 0.578,0.854 / 0.678,0.941 / 0.903
Zookeeper PA,0.496 / 0.842,0.497 / 0.843,0.452 / 0.480,0.452 / 0.683,0.287 / 0.346,0.452 / 0.456,0.452 / 0.456,0.473 / 0.733,0.449 / 0.452,0.451 / 0.455,0.428 / 0.656,0.451 / 0.684,0.452 / 0.789,0.942 / 0.989,0.988 / 0.843
Zookeeper FTA,0.311 / 0.465,0.354 / 0.614,0.255 / 0.319,0.226 / 0.263,0.144 / 0.221,0.189 / 0.048,0.081 / 0.008,0.227 / 0.207,0.112 / 0.015,0.229 / 0.226,0.127 / 0.184,0.140 / 0.297,0.224 / 0.281,0.354 / 0.500,0.902 / 0.753
BGL GA,0.957 / 0.915,0.963 / 0.919,0.939 / 0.896,0.690 / ------,0.854 / 0.733,0.835 / 0.756,0.725 / 0.644,0.587 / ------,0.232 / ------,0.952 / ------,0.711 / 0.598,0.573 / ------,0.786 / 0.677,0.963 / 0.549,0.584 / 0.311
